"","lon","lat","MunicipalityID","COD_DANE","Department Name","Municipality Name","Rural Population","Urban Population","Total Population"
"898","-75.72170621","5.670343576","12398",5789,"ANTIOQUIA","TAMESIS","9899","6488","16387"
"899","-77.35521797","1.59388354","12396",52786,"NARINO","TAMINANGO","13709","3509","17218"
"900","-77.3864499","1.09190246","12550",52788,"NARINO","TANGUA","8751","2141","10892"
"901","-69.90809534","-0.759267861","11734",97666,"VAUPES","TARAIRA","873","175","1048"
"902","-70.01144885","-2.565344912","11707",91798,"AMAZONAS","TARAPACA","3775","0","3775"
"903","-75.5049078","7.493027716","12680",5790,"ANTIOQUIA","TARAZA","15091","17852","32943"
"904","-75.89284314","2.133993543","12346",41791,"HUILA","TARQUI","11614","4300","15914"
"905","-75.84655635","5.868971822","11586",5792,"ANTIOQUIA","TARSO","3994","3161","7155"
"906","-72.75386231","5.848162813","12365",15790,"BOYACA","TASCO","5083","1842","6925"
"907","-72.65069568","4.664479894","12478",85410,"CASANARE","TAURAMENA","6086","10153","16239"
"908","-73.96940764","5.176373806","11809",25793,"CUNDINAMARCA","TAUSA","6919","796","7715"
"909","-75.07932451","3.041199493","12319",41799,"HUILA","TELLO","7927","5626","13553"
"910","-74.38989447","4.666488523","12567",25797,"CUNDINAMARCA","TENA","6872","697","7569"
"911","-74.73451105","9.914399268","12353",47798,"MAGDALENA","TENERIFE","6936","5614","12550"
"912","-74.16568398","4.823191298","12052",25799,"CUNDINAMARCA","TENJO","10582","7884","18466"
"913","-73.45505167","5.036761614","11705",15798,"BOYACA","TENZA","3445","1206","4651"
"914","-73.16951807","8.747706773","11742",54800,"NORTE DE SANTANDER","TEORAMA","15361","2162","17523"
"915","-75.71134006","2.843228142","11709",41801,"HUILA","TERUEL","4145","4081","8226"
"916","-75.715463","2.53524125","11776",41797,"HUILA","TESALIA","4019","4855","8874"
"917","-74.5163928","4.306063058","11950",25805,"CUNDINAMARCA","TIBACUY","4261","582","4843"
"918","-73.42777948","5.284600519","11862",15804,"BOYACA","TIBANA","8165","1546","9711"
"919","-73.02982033","5.718110715","12057",15806,"BOYACA","TIBASOSA","8442","4184","12626"
"920","-73.54001798","5.059928906","12101",25807,"CUNDINAMARCA","TIBIRITA","2513","505","3018"
"921","-72.83301236","8.676633138","12342",54810,"NORTE DE SANTANDER","TIBU","22848","11925","34773"
"922","-76.17713132","7.805740478","11755",23807,"CORDOBA","TIERRALTA","45895","32875","78770"
